ISIN,NAME,Country,Region,Years_With_Both_Scopes
GB00B0744B38,BUNZL,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0002318888,CRANSWICK,GB,EUR,"[2013, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
DK0010287663,NKT,DK,EUR,"[2013, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0008038389,SWISS PRIME SITE,CH,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000120404,ACCOR,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0002670437,DEVRO DEAD - DELIST.14/04/23,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]"
GB0005790059,MENZIES (JOHN) DEAD - DELIST.05/08/22,GB,EUR,"[2018, 2019, 2020, 2021]"
DK0061804697,H LUNDBECK A,DK,EUR,[]
IE00BLS09M33,PENTAIR,GB,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
SE0000949331,NOBIA,SE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0005746358,MCBRIDE,GB,EUR,"[2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
IT0000784154,CATTOLICA ASSICURAZIONI DEAD - DELIST.12/08/22,IT,EUR,"[2016, 2017, 2018, 2019, 2020, 2021]"
FR0010307819,LEGRAND,FR,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
GB00B082RF11,RENTOKIL INITIAL,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
NL0000360618,SBM OFFSHORE,NL,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000039109,SECHE ENVIRONNEMENT,FR,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
GB00B1VNSX38,DRAX GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
